name,genre,rating,year,duration,seasons,episodes,plot,cast,type
Planet Earth II,Documentary,9.5,2016-2016,298,1,6,David Attenborough returns in this breathtaking documentary showcasing life on Planet Earth.,David Attenborough(Self - presenter / ...),top_rated
Planet Earth,Documentary,9.4,2006-2006,538,1,11,"Each 50 minute episode features a global overview of a different biome or habitat on Earth (Polar, Mountain, Cave, Desert, Plains, Fresh Water, Seas, Ocean, Forest), followed by a ten-minute featurette which takes a behind-the-scenes look at the challenges of filming the episode.","David Attenborough(Self - Narrator), Sigourney Weaver(Narrator - US Version), Thomas Anguti Johnston(Inuktitut Narrator), Huw Cordey(Self - Producer / ...), Doug Allan(Self)",top_rated
Band of Brothers,"Action, Drama, History, War",9.4,2001-2001,594,1,10,"This is the story of ""E"" Easy Company, 506th Regiment of the 101st Airborne Division from their initial training starting in 1942 to the end of World War II. They parachuted behind enemy lines in the early hours of D-Day in support of the landings at Utah beach, participated in the liberation of Carentan and again parachuted into action during Operation Market Garden. They also liberated a concentration camp and were the first to enter Hitler's mountain retreat in Berchtesgaden. A fascinating tale of comradeship that is, in the end, a tale of ordinary men who did extraordinary things.","Scott Grimes(Donald G. Malarkey), Damian Lewis(Richard D. Winters), Ron Livingston(Lewis Nixon), Shane Taylor(Eugene G. Roe), Donnie Wahlberg(C. Carwood Lipton)",top_rated
Breaking Bad,"Crime, Drama, Thriller",9.5,2008-2013,49,5,62,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. Determined to ensure that his family will have a secure future, Walt embarks on a career of drugs and crime. He proves to be remarkably proficient in this new world as he begins manufacturing and selling methamphetamine with one of his former students. The series tracks the impacts of a fatal diagnosis on a regular, hard working man, and explores how a fatal diagnosis affects his morality and transforms him into a major player of the drug trade.","Bryan Cranston(Walter White), Anna Gunn(Skyler White), Aaron Paul(Jesse Pinkman), Betsy Brandt(Marie Schrader), RJ Mitte(Walter White, Jr.)",top_rated
Chernobyl,"Drama, History, Thriller",9.4,2019-2019,330,1,5,"In April 1986, a huge explosion erupted at the Chernobyl nuclear power station in northern Ukraine. This series follows the stories of the men and women, who tried to contain the disaster, as well as those who gave their lives preventing a subsequent and worse one.","Jessie Buckley(Lyudmilla Ignatenko), Jared Harris(Valery Legasov), Stellan Skarsgård(Boris Shcherbina), Adam Nagaitis(Vasily Ignatenko), Emily Watson(Ulana Khomyuk)",top_rated
The Wire,"Crime, Drama, Thriller",9.3,2002-2008,59,5,60,"Set in Baltimore, this show centers around the city's inner-city drug scene. It starts as mid-level drug dealer, D'Angelo Barksdale beats a murder rap. After a conversation with a judge, Det. James McNulty has been assigned to lead a joint homicide and narcotics team, in order to bring down drug kingpin Avon Barksdale. Avon Barksdale, accompanied by his right-hand man Stringer Bell, enforcer Wee-Bey and many lieutenants (including his own nephew, D'Angelo Barksdale), has to deal with law enforcement, informants in his own camp, and competition with a local rival, Omar, who's been robbing Barksdale's dealers and reselling the drugs. The supervisor of the investigation, Lt. Cedric Daniels, has to deal with his own problems, such as a corrupt bureaucracy, some of his detectives beating suspects, hard-headed but determined Det. McNulty, and a blackmailing deputy. The show depicts the lives of every part of the drug ""food chain"", from junkies to dealers, and from cops to politicians.","Dominic West(Det. James 'Jimmy' McNulty / ...), John Doman(Dep. Comm. for Operations William A. Rawls / ...), Deirdre Lovejoy(Asst. State's Atty. Rhonda Pearlman), Wendell Pierce(Det. William 'Bunk' Moreland), Lance Reddick(Lt. Cedric Daniels / ...)",top_rated
Blue Planet II,Documentary,9.3,2017-2018,364,1,8,"Nearly a generation after the acclaimed Blue Planet documentary was released, David Attenborough returns to narrate this groundbreaking sequel/reboot. Blue Planet ll focuses more heavily on mankind's influence on the world's oceans through both global pollution and climate change. This series features a variety of revolutionary segments never before seen in a video documentary, including: cuttlefish that hypnotize crabs to stun them, giant trevally that leap out of the water to catch low flying birds, and newly discovered dancing yeti crabs.","David Attenborough(Self - Narrator), Peter Drost(Narrator: The Netherlands), Roger Horrocks(Self), Roger Munns(Self), François Morel(Narrator: French commentary / ...)",top_rated
Our Planet,Documentary,9.3,2019-2019,403,1,8,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",David Attenborough(Narrator),top_rated
Cosmos: A Spacetime Odyssey,Documentary,9.3,2014-2014,557,1,13,"Join the heroic quest for knowledge as we set course for the stars with the twenty-first century reboot of Cosmos. Hosted by world-renowned astrophysicist Neil deGrasse Tyson, this thirteen-part ground-breaking series will venture to new worlds, trace our roots back to the hearts of ancient stars, and travel across the universe for a vision of the cosmos on the grandest scale.","Neil deGrasse Tyson(Self - Host), Stoney Emshwiller(George Tilton / ...), Piotr Michael(Edmund Muskie / ...), André Sogliuzzo(Christopher Wren, Weichelberger), Phil LaMarr()",top_rated
Cosmos,Documentary,9.3,1980-1980,60,1,13,"Astronomer Dr. Carl Sagan is host and narrator of this 13-hour series that originally aired on Public Broadcasting Stations in the United States. Dr. Sagan describes the universe in a way that appeals to a mass audience, by using Earth as a reference point, by speaking in terms intelligible to non-scientific people, by relating the exploration of space to that of the Earth by pioneers of old, and by citing such Earth legends as the Library of Alexandria as metaphors for space-related future events. Among Dr. Sagan's favorite topics are the origins of life, the search for life on Mars, the infernal composition of the atmosphere of Venus and a warning about a similar effect taking place on Earth due to global pollution and the ""greenhouse effect"", the lives of stars, interstellar travel and the effects of attaining the speed of light, the danger of mankind technologically self-destructing, and the search, using radio technology, for intelligent life in deep space.","Carl Sagan(Self - Host), Jaromír Hanzlík(Johannes Kepler), Jonathan Fahn(Young Champollion / ...), Alan Belod(Jean-Francois Champollion), Jean Charney(Betty Hill)",top_rated
